time_period,time_identifier,geographic_level,country_code,country_name,region_name,region_code,characteristic_group,characteristic,qualification_type,ssa_t1_desc,provider_type,apps_received,apps_approved,loan_amount_awarded_in_thousands
201819,Academic year,National,E92000001,England,,,Total,Total,Total,Engineering and Manufacturing Technologies,Total,1990,1660,7200
201819,Academic year,National,E92000001,England,,,Total,Total,Total,"Health, Public Services and Care",Total,25200,22210,61600
201819,Academic year,National,E92000001,England,,,Total,Total,Total,"History, Philosophy and Theology",Total,430,360,1100
201819,Academic year,National,E92000001,England,,,Total,Total,Total,Information and Communication Technology,Total,1190,1000,4000
201819,Academic year,National,E92000001,England,,,Total,Total,Total,"Languages, Literature and Culture",Total,290,270,300
201819,Academic year,National,E92000001,England,,,Total,Total,Total,"Leisure, Travel and Tourism",Total,6900,6260,16200
201819,Academic year,National,E92000001,England,,,Total,Total,Total,Preparation for Life and Work,Total, low , low , low 
201819,Academic year,National,E92000001,England,,,Total,Total,Total,Retail and Commercial Enterprise,Total,11990,10500,31700
201819,Academic year,National,E92000001,England,,,Total,Total,Total,Science and Mathematics,Total,2590,2170,6800
201819,Academic year,National,E92000001,England,,,Total,Total,Total,Social Sciences,Total,2630,2170,6400
201819,Academic year,National,E92000001,England,,,Total,Total,Total,Unknown/Not applicable,Total,10,10, low 
201819,Academic year,National,E92000001,England,,,Total,Total,Total,Total,General FE College including Tertiary,44060,38770,112700
201819,Academic year,National,E92000001,England,,,Total,Total,Total,Total,Sixth form college,610,540,1300
201819,Academic year,National,E92000001,England,,,Total,Total,Total,Total,Special colleges,1680,1490,5700
201819,Academic year,National,E92000001,England,,,Total,Total,Total,Total,Other Public Funded,3220,2860,7300
201819,Academic year,National,E92000001,England,,,Total,Total,Total,Total,Schools,10,10, low 
201819,Academic year,National,E92000001,England,,,Total,Total,Total,Total,Private Sector Public Funded,28030,24660,73300
201819,Academic year,National,E92000001,England,,,Total,Total,Total,Total,Unknown,10, low , low 
201920,Academic year,National,E92000001,England,,,Total,Total,Total,Total,Total,69400,61280,182400
201920,Academic year,National,E92000001,England,,,Gender,Male,Total,Total,Total,19240,16890,55800
201920,Academic year,National,E92000001,England,,,Gender,Female,Total,Total,Total,50160,44390,126700
201920,Academic year,National,E92000001,England,,,Age group,19-23,Total,Total,Total,15530,13660,45300
